id,price
89224365f8,443105.095241155
363731333f,241979.61530017888
6e6283378a,443084.4866882127
4c29a27f44,1050613.5621349583
7b16cf224b,607752.1966019865
c0c699ebcc,286398.83251180645
d36b41a815,252540.91963871766
9be92984b9,625730.9459771122
f774771058,301289.2792666692
0c4add382a,1167127.3492282964
8d6b937f00,228588.63659064897
eb15c43587,723501.6134802194
b3bffc4413,749872.9340863447
edf9c48708,436778.2201105545
50a0189faf,283540.23952209234
de4b79dead,245825.44845910816
152f94bd3b,871457.9582221302
b7736872b6,667782.3238078419
db0b5c7a47,840349.0682093957
a8dd281b11,334456.2994339134
281151242b,685216.4045171165
2db79d7c7c,211523.6279888003
fe82d83b82,963926.9469586659
d7db923b3c,256431.78110439316
bc9bd0ab2b,315029.12288275716
7ca2b5fb45,348781.3038991375
191c9ed2b9,337096.6832230323
38de2dc1a8,191063.17327669065
55f24b8f6c,1540172.9309705496
38e7d3b079,299156.10601025296
53bd232479,1073354.0595134222
b579f925a4,534528.6655404263
92cc3536ed,1403873.1988692905
396f8c27da,809608.024935953
b6c02471bc,267075.4173061159
31131a56a0,228920.12252286868
ac739b93d5,188201.01115360123
1c84ae825b,261128.65812296394
236c77bef3,1111148.1716759424
b94781bf65,261398.56021159934
ee0f074d18,229213.29497903847
491209a97a,1037032.0485122369
6838647e07,325351.2088939994
a8ce91143d,241454.02412060622
97b93cb9da,377930.7767064771
27d4c81c61,639321.8429930924
a6afcab962,188252.00622857263
9155022909,492834.70538825967
d18c0d9701,186774.6787014003
ea4fcf21b2,283703.2319974803
f84a19b7f0,522503.9209726404
557181a32f,965264.3896427051
04a7335370,220003.6322156711
a8f690dd33,278793.4198629509
3c87bab291,407454.1866538297
4db9e2e999,307887.0751766602
14dd393119,393299.23121515487
f397d1c3b5,125611.69145313058
416abf241b,725832.4557953888
cd7b9e6892,218602.00677721843
1bbdeca9cc,426167.56401402695
28d30af69a,356117.347899998
7081ae7078,452793.56522409536
dee4cf0f73,1320702.6058022492
15eef1b505,507398.8730382373
acb50155fd,251387.58963560313
2989f6a68f,900107.845786823
8c918e75e8,1321138.823205344
0eb180afce,653783.9025583032
dc7117940f,220518.3637917101
5910aa1a2d,878461.6341229106
f86d1b5388,1394502.7058604017
